date,country,state,county,city,type,description,severity,category
2020-04-28,iso1:AU,iso2:AU-NT,,,scraper failed,Error: There is an unexpected label: ,critical,scraper failure
2020-04-28,iso1:CA,iso2:CA-NS,,,scraper failed,DeprecatedError: Someone needs to scrape this new data properly,critical,scraper failure
2020-04-28,iso1:IE,,,,scraper failed,Error: datetime.parse: Could not parse '1582761600000' as a date,critical,scraper failure
2020-04-28,iso1:PA,,,,scraper failed,TypeError: Cannot read property 'split' of null,critical,scraper failure
2020-04-28,iso1:PR,,,,scraper failed,AssertionError [ERR_ASSERTION]: Cases is not reasonable,critical,scraper failure
2020-04-28,iso1:SA,,,,scraper failed,"Error: Invalid Record Length: columns length is 7, got 5 on line 8374",critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,Alameda County,,scraper failed,DeprecatedError: Sunsetting county level scrapers,critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,Calaveras County,,scraper failed,DeprecatedError: Sunsetting county level scrapers,critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,Colusa County,,scraper failed,TypeError: Cannot read property '1' of null,critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,Del Norte County,,scraper failed,DeprecatedError: Sunsetting county level scraper,critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,Glenn County,,scraper failed,TypeError: Cannot read property '1' of null,critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,Kern County,,scraper failed,"DeprecatedError: Kern County, CA now uses a PNG and PDF",critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,Madera County,,scraper failed,"DeprecatedError: Madera County, CA now uses a PNG",critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,Marin County,,scraper failed,DeprecatedError: Sunsetting county level scrapers,critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,Mendocino County,,scraper failed,DeprecatedError: Sunsetting county level scrapers,critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,Merced County,,scraper failed,DeprecatedError: Sunsetting county level scrapers,critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,,,scraper failed,Error: Timeseries does not contain a sample for SCRAPE_DATE 2020-4-28,critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,Orange County,,scraper failed,DeprecatedError: Need to scrape new page,critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,Riverside County,,scraper failed,DeprecatedError: Sunsetting county scraper,critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,Sacramento County,,scraper failed,DeprecatedError: Sunsetting county scraper,critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,San Benito County,,scraper failed,DeprecatedError: Need to scrape new arcgis,critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,San Bernardino County,,scraper failed,DeprecatedError: Sunsetting county scraper,critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,Santa Barbara County,,scraper failed,DeprecatedError: Sunsetting county scraper,critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,Santa Clara County,,scraper failed,"DeprecatedError: Sunsetting county scraper, its PowerBI now",critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,Santa Cruz County,,scraper failed,DeprecatedError: Moved to Tableau,critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,Solano County,,scraper failed,"DeprecatedError: Solano County, CA now uses a PDF",critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,,,scraper failed,TypeError: data is not iterable,critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,Sonoma County,,scraper failed,"DeprecatedError: Sonoma switched to ArcGIS, which is handled by another scraper",critical,scraper failure
2020-04-28,iso1:US,iso2:US-CA,Yolo County,,scraper failed,DeprecatedError: Sunsetting county scraper,critical,scraper failure
2020-04-28,iso1:US,iso2:US-CO,,,scraper failed,TypeError: data is not iterable,critical,scraper failure
2020-04-28,iso1:US,iso2:US-GU,,,scraper failed,"DeprecatedError: Guam stopped offering totals on their website, but there's a sweet coloring book",critical,scraper failure
2020-04-28,iso1:US,iso2:US-KS,,,scraper failed,TypeError: Cannot read property 'filter' of null,critical,scraper failure
